question,answer,category
What is the application fee?,The application fee is ₹500 for general category and ₹250 for reserved categories.,Fees
Is there a library facility?,Yes our library is open from 8 AM to 8 PM on all working days with over 50000 books and digital resources.,General
How do I reset my student portal password?,Visit the login page and click on Forgot Password. Enter your registered email and follow the instructions.,Technical
What is the grading system?,We follow a 10-point CGPA grading system as per university guidelines.,Academic
Are internships mandatory?,Yes internships are mandatory for final year students as part of the curriculum.,Academic
What is the college address?,The college is located at Knowledge Park 3 Greater Noida  - 201310.,Contact
Does the college have a medical facility?,Yes there is a fully equipped medical room with a qualified nurse on campus during college hours.,Facilities
How many departments are there?,The college has 12 departments including Computer Science Electronics Mechanical Civil and more.,General
What is the annual cultural fest called?,Our annual cultural fest is called TechFiesta held every February with national level participation.,Events
Is Wi-Fi available on campus?,Yes high-speed Wi-Fi is available across the campus including hostels and academic blocks.,Facilities
